,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
896,896,a1856,b2040,gone is gone [ep],gone is gone,Jul 8 2016,echolocation,gone is gone,Jan 6 2017
897,897,a1857,b1573,beautiful broken,heart,Jul 8 2016,beautiful broken,heart,Jul 8 2016
898,898,a1861,b1555,the bride,bat for lashes,Jul 1 2016,the bride,bat for lashes,Jul 1 2016
899,899,a1862,b1556,california,blink-182,Jul 1 2016,california,blink-182,Jul 1 2016
900,900,a1863,b1558,blisters in the pit of my heart,martha,Jul 1 2016,wings of the wild,delta goodrem,Jul 1 2016
901,901,a1863,b1565,blisters in the pit of my heart,martha,Jul 1 2016,young in all the wrong ways,sara watkins,Jul 1 2016
902,902,a1864,b1564,summer 08,metronomy,Jul 1 2016,summer 08,metronomy,Jul 1 2016
903,903,a1865,b1563,blacksummers'night (2016),maxwell,Jul 1 2016,blacksummers'night,maxwell,Jul 1 2016
904,904,a1868,b1565,young in all the wrong ways,sara watkins,Jul 1 2016,young in all the wrong ways,sara watkins,Jul 1 2016
905,905,a1869,b1557,freetown sound,blood orange,Jun 28 2016,freetown sound,blood orange,Jul 1 2016
906,906,a187,b3094,a long way from your heart,turnpike troubadours,Oct 20 2017,a long way from your heart,turnpike troubadours,Oct 20 2017
907,907,a187,b876,a long way from your heart,turnpike troubadours,Oct 20 2017,turnpike troubadours,turnpike troubadours,Sep 18 2015
908,908,a1874,b1528,earth,neil young,Jun 24 2016,earth,neil young,Jun 17 2016
909,909,a1874,b2014,earth,neil young,Jun 24 2016,peace trail,neil young,Dec 9 2016
910,910,a1874,b677,earth,neil young,Jun 24 2016,the monsanto years,neil young,Jun 16 2015
911,911,a1875,b1542,the  mountain will fall,dj shadow,Jun 24 2016,the mountain will fall,dj shadow,Jun 24 2016
912,912,a1878,b1544,hot hot heat,hot hot heat,Jun 24 2016,hot hot heat,hot hot heat,Jun 24 2016
913,913,a1882,b1549,mark of the blade,whitechapel,Jun 24 2016,mark of the blade,whitechapel,Jun 24 2016
914,914,a1883,b2102,delirium tremens,mick harvey,Jun 24 2016,intoxicated women,mick harvey,Jan 20 2017
915,915,a1885,b1540,conscious,broods,Jun 24 2016,conscious,broods,Jun 24 2016
916,916,a1885,b3102,conscious,broods,Jun 24 2016,conscious,guy sebastian,Oct 27 2017
917,917,a1887,b1543,on desire,drowners,Jun 24 2016,on desire,drowners,Jun 24 2016
918,918,a1889,b1547,nice as f**k,nice as fuck,Jun 24 2016,nice as fuck,nice as fuck,Jun 24 2016
919,919,a1890,b2878,the race for space [remixes],public service broadcasting,Jun 24 2016,every valley,public service broadcasting,Jul 7 2017
920,920,a1890,b425,the race for space [remixes],public service broadcasting,Jun 24 2016,the race for space,public service broadcasting,Feb 23 2015
921,921,a1893,b1221,victorious,floorplan,Jun 24 2016,victorious,wolfmother,Feb 19 2016
922,922,a1894,b1539,alice bag,alice bag,Jun 24 2016,alice bag,alice bag,Jun 24 2016
923,923,a1895,b1538,muzik,delorean,Jun 22 2016,muzik,delorean,Jun 22 2016
924,924,a1896,b1324,atomic,mogwai,Jun 17 2016,atomic,mogwai,Apr 1 2016
925,925,a1896,b2976,atomic,mogwai,Jun 17 2016,every country's sun,mogwai,Sep 1 2017
926,926,a1896,b961,atomic,mogwai,Jun 17 2016,central belters,mogwai,Oct 23 2015
927,927,a1897,b1526,the dreaming room,laura mvula,Jun 17 2016,the dreaming room,laura mvula,Jun 17 2016
928,928,a1899,b1529,the getaway,red hot chili peppers,Jun 17 2016,the getaway,red hot chili peppers,Jun 17 2016
929,929,a190,b2226,super slimey [mixtape],future,Oct 20 2017,future,future,Feb 17 2017
930,930,a190,b2261,super slimey [mixtape],future,Oct 20 2017,hndrxx,future,Feb 24 2017
931,931,a190,b727,super slimey [mixtape],future,Oct 20 2017,ds2,future,Jul 17 2015
932,932,a1900,b1527,puberty 2,mitski,Jun 17 2016,puberty 2,mitski,Jun 17 2016
933,933,a1901,b1523,eyeland,the low anthem,Jun 17 2016,streets of compton,the game,Jun 17 2016
934,934,a1901,b1534,eyeland,the low anthem,Jun 17 2016,man machine poem,the tragically hip,Jun 17 2016
935,935,a1901,b1535,eyeland,the low anthem,Jun 17 2016,chaos,unlocking the truth,Jun 17 2016
936,936,a1902,b1532,the glowing man,swans,Jun 17 2016,the glowing man,swans,Jun 17 2016
937,937,a1904,b1505,say yes,big deal,Jun 17 2016,say yes,big deal,Jun 10 2016
938,938,a1905,b1525,on my one,jake bugg,Jun 17 2016,on my one,jake bugg,Jun 17 2016
939,939,a1908,b1524,magma,gojira,Jun 17 2016,magma,gojira,Jun 17 2016
940,940,a1913,b584,johannesburg [ep],mumford & sons,Jun 17 2016,wilder mind,mumford & sons,May 4 2015
941,941,a1917,b1536,friday night [live],will butler,Jun 17 2016,friday night,will butler,Jun 17 2016
942,942,a1917,b461,friday night [live],will butler,Jun 17 2016,policy,will butler,Mar 10 2015
943,943,a1921,b1523,man machine poem,the tragically hip,Jun 17 2016,streets of compton,the game,Jun 17 2016
944,944,a1921,b1534,man machine poem,the tragically hip,Jun 17 2016,man machine poem,the tragically hip,Jun 17 2016
945,945,a1921,b1535,man machine poem,the tragically hip,Jun 17 2016,chaos,unlocking the truth,Jun 17 2016
946,946,a1924,b1507,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016
947,947,a1924,b1513,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,good times!,the monkees,Jun 10 2016
