Album,Artist,Genre,Label,Producer,Release Date,Meta Score
In Mind,Real Estate,"['Indie rock', ' jangle pop', ' dream pop', ' psychedelic rock']",['Domino'],['Cole M.G.N.'],Mar 17 2017,
Rather You Than Me,Rick Ross,['Hip hop'],['Epic'],"['Analogic', ' Beat Billionaire', ' Beat Butcha', ' Bink', ' Black Metaphor', ' Buda & Grandz', ' C-Gutta', ' J-Pilot', ' Sap', ' Skyz Muzik', ' StreetRunner', ' Tarik Azzouz', ' The Olympicks', ' Yung Coke']",Mar 17 2017,
Chills & Fever,Samantha Fish,,['Ruf'],['Bobby Harlow'],Mar 17 2017,
You're Not As _____ As You Think,Sorority Noise,"['Emo', ' indie rock']",['Triple Crown'],['Mike Sapone'],Mar 17 2017,
Hot Thoughts,Spoon,['Indie rock'],['Matador'],"['Dave Fridmann', ' Spoon']",Mar 17 2017,
Live from the Fox Oakland,Tedeschi Trucks Band,"['Southern rock', ' blues rock']",['Fantasy'],['Derek Trucks'],Mar 17 2017,
Vera Lynn 100,Vera Lynn,['Traditional pop'],['Decca'],"['James Morgan', ' Juliette Pochin']",Mar 17 2017,
So Good,Zara Larsson,['Pop'],['Epic'],"['Stargate', ' Freedo', ' Charlie Puth', ' Steve Mac', ' MNEK', ' Markus Sepehrmanesh', ' ST!NT', ' John Hill', ' The Monsters and the Strangerz', ' Clean Bandit', ' Jason Gill', ' Astronomyy', ' Astma & Rocwell', ' Hampus Lindvall', ' Danny Boy Styles', ' German', ' Paul Shaouy', ' Brian Garcia', ' Mike Spencer', ' Kid Joki', ' Fred Ball', ' Shuko']",Mar 17 2017,
More Life,Drake,"['Hip hop', ' R&B']","['Young Money', ' Cash Money', ' Republic']","['40', ' Allen Ritter', ' Akira Woodgrain', ' Boi-1da', ' Charlie Handsome', ' Chef Pasquale', ' Cubeatz', ' Deejae', ' Drake', ' FrancisGotHeat', ' Frank Dukes', ' G. Ry', ' Hagler', ' iBeatz', ' Jazzfeezy', ' Kanye West', ' M3rge', ' Murda Beatz', ' Nabeyin', ' Nana Rogues', ' Nineteen85', ' Noah Goldstein', ' Oliver El-Khatib', ' PartyNextDoor', ' S1', ' Steve Samson', ' Stwo', ' Supah Mario', ' T0PFLR', ' T-Minus', ' Vinylz', ' Wallis Lane']",Mar 18 2017,
7℃N,CNBLUE,"['K-pop', ' pop rock']",['FNC Entertainment'],['Han Seong-ho'],Mar 20 2017,
Can You Feel It?,Highlight,['K-pop'],"['Around Us Entertainment', ' LOEN Entertainment']",,Mar 20 2017,
Score,2Cellos,,"['Portrait', ' Sony Masterworks']","['Luka Šulić', ' Nick Patrick', ' Stjepan Hauser']",Mar 21 2017,
The Clan Pt. 2.5: The Final Chapter,Monsta X,"['K-pop', ' Hip hop']","['Starship Entertainment', ' LOEN Entertainment']",,Mar 21 2017,
Hi! Pristin,Pristin,['K-pop'],"['Pledis Entertainment', ' LOEN Entertainment']",,Mar 21 2017,
Not not me,Charisma.com,"['Electronic', ' dance', ' hip hop']","['Warner Music Japan', ' Atlantic Japan']",,Mar 22 2017,
Let Freedom Ring,Hiroya Ozaki,"['J-pop', ' indie pop']","[""Toy's Factory""]","['Junji Ishiwatari', ' Koichi Tsutaya']",Mar 22 2017,
The Madness,Art of Anarchy,"['Hard rock', ' alternative metal']",['Another Century'],,Mar 24 2017,
The Valley,Betty Who,,['RCA'],"['Peter Thomas', ' Pretty Sister', ' Pop & Oak', ' Trevor Brown', ' Zaire Koalo', ' Oliver ""Oligee"" Goldstein', ' Vaughn Oliver', ' CJ Baran', ' Kyle Moorman', ' The Monsters & Strangerz', ' Mstr Rogers', ' Robopop']",Mar 24 2017,
Won't Let You Down,Bridget Kearney,['Pop'],['Signature Sounds'],['Robin MacMillian'],Mar 24 2017,
World Underwater,CLAVVS,['Trip hop'],,['Graham Marsh'],Mar 24 2017,
We All Want the Same Things,Craig Finn,['Indie rock'],['Partisan'],['Josh Kaufman'],Mar 24 2017,
"Eternity, in Your Arms",Creeper,"['Horror punk', ' punk rock']",['Roadrunner'],['Neil Kennedy'],Mar 24 2017,
Grow Up,Desperate Journalist,"['Indie rock', ' post-punk']",['Fierce Panda'],"['Desperate Journalist', ' Keith TOTP']",Mar 24 2017,
Souvenir,Drew Holcomb and The Neighbors,,['Magnolia Music'],,Mar 24 2017,
Dance of Time,Eliane Elias,['Jazz'],['Concord'],"['Eliane Elias', ' Marc Johnson', ' Steve Rodby']",Mar 24 2017,
At What Cost,GoldLink,['Hip hop'],['RCA'],"['Axlfoile', ' Darth Olympian', ' Everett Ray', ' Felix Joseph', ' Hare Squead', ' Kaytranada', ' Louie Lastik', ' Matt Martians', ' Radiant Children', ' Sevn Thomas', ' Steve Lacy', ' Swindail', ' Syk Sense', ' Taz Arnold', ' Teddy Walton']",Mar 24 2017,
The Afterlove,James Blunt,,['Atlantic UK'],"['Andrew DeRoberts', ' Danny Parker', ' Ed Sheeran', ' Jay Paul Bicknell', ' Martin Terefe', ' Ryan Tedder', ' Stephan Moccio', ' Steve Robson', ' Teddy Geiger', ' Zach Skelton']",Mar 24 2017,
Damage and Joy,The Jesus and Mary Chain,['Alternative rock'],['Warner Bros.'],['Youth'],Mar 24 2017,
We Got Love,The Kelly Family,"['Pop', ' rock', ' folk']","['Airforce1', ' Universal']",,Mar 24 2017,
Unbound 01,Keshia Chanté,['R&B'],,,Mar 24 2017,
The 25th Anniversary Album,Lee Kernaghan,['Country'],"['ABC Music', ' Universal Music Australia']",,Mar 24 2017,
Worth the Wait,Lindsay Ell,['Country'],['Stoney Creek'],['Kristian Bush'],Mar 24 2017,
Love Is Alive,Louis the Child,,['Ultra Music'],,Mar 24 2017,
Mansionz,Mansionz,"['Alternative hip hop', ' R&B', ' hip hop']","['Bear Trap', ' Monster Mountain']","['blackbear', ' MdL', ' Mike Posner', ' O.C.']",Mar 24 2017,
Ransom 2,Mike Will Made It,"['Hip hop', ' trap']","['EarDrummers', ' Interscope']","['30Roc', ' DJ FU', ' Ducko Mcfli', ' The Eardrummers', ' Ez Elpee', ' GT', ' Marz', ' Micah Weston', ' Mike Will Made It', ' Pluss', ' Resource', ' S1', ' The Sauce']",Mar 24 2017,
A Crow Looked at Me,Mount Eerie,"['Indie folk', ' slowcore']",['P.W. Elverum & Sun'],['Phil Elverum'],Mar 24 2017,
Mesmer,Northlane,"['Metalcore', ' progressive metal']",['UNFD'],['David Bendeth'],Mar 24 2017,
Heartless,Pallbearer,['Doom metal'],['Profound Lore'],['Pallbearer'],Mar 24 2017,
Tremendous Sea of Love,Passion Pit,,,,Mar 24 2017,
WildHorse,RaeLynn,['Country'],['Warner Music Nashville'],"['Nicolle Galyon', ' Jimmy Robbins']",Mar 24 2017,
The Wild,Raekwon,['Hip hop'],"['Ice H2O', ' EMPIRE']","['Dame Grease', ' Dan the Band', ' Frank G', ' G Sparkz', ' J. Dot', ' J.U.S.T.I.C.E. League', ' Mally the Martian', ' Mark Henry', ' MK Beatz', ' RoadsArt', ' Xtreme']",Mar 24 2017,
American,RuPaul,['Dance'],['RuCo'],"['Ellis Miah', ' KUMMERSPECK', ' Markaholic', ' Skeltal Ki', ' Vjan Allure', ' YLXR']",Mar 24 2017,
Joy Comes Back,Ruthie Foster,"['soul', ' blues', ' gospel', ' rock']",['Blue Corn Music'],,Mar 24 2017,
Rock and Roll Bye Bye,Skaters,,['Yonks Records'],,Mar 24 2017,
From Deewee,Soulwax,['Synth-pop'],['PIAS'],['Soulwax'],Mar 24 2017,
Doris & the Daggers,Spiral Stairs,['Pop rock'],['Matador'],,Mar 24 2017,
The Night Siren,Steve Hackett,['Progressive rock'],['Inside Out Music'],"['Benedict Fenner', ' Roger King', ' Steve Hackett']",Mar 24 2017,
Wonderland,Take That,['Pop'],['Polydor'],"['Charlie Russel', ' Mark Crossy', ' Mark Ralph', ' Sigma', ' Stuart Price', ' Tony Hoffer']",Mar 24 2017,
Tremaine the Album,Trey Songz,['R&B'],"['Songbook', ' Atlantic']","['A-Wall', ' Alex Isaak', ' C4', ' Cardiak', ' Cirkut', ' Composer', ' Cook Classics', ' D-Town', ' Earl & E', ' Gitty', ' Guitar Boy', ' Jeremy Snyder', ' JMIKE', ' MADE IN CHINA', ' Pip Kembo', ' Poo Bear', ' Posta', ' Rico Love', ' Ryan Ogren', ' Sermstyle', ' $K', ' Sons of Sonix', ' Troy Taylor', ' Xeryus G.']",Mar 24 2017,
La Lucha,La Vida Bohème,['Indie rock'],['Nacional'],,Mar 24 2017,
Vessel in Orbit,"Whit Dickey, Mat Maneri, and Matthew Shipp",['Jazz'],['AUM Fidelity'],['Whit Dickey'],Mar 24 2017,
